Umpire,Nationality
A Nand Kishore,India
S Ravi,India
Nitin Menon,India
CK Nandan,India
AK Chaudhary,India
C Shamshuddin,India
A Deshmukh,India
NJ Llong,England
AY Dandekar,India
KN Ananthapadmanabhan,India
YC Barde,India
VK Sharma,India
CB Gaffaney,New Zealand
M Erasmus,South Africa
Asad Rauf,Pakistan
RE Koertzen,South Africa
MR Benson,England
SL Shastri,India
Aleem Dar,Pakistan
GA Pratapkumar,India
SJ Davis,Australia
DJ Harper,Australia
BF Bowden,New Zealand
K Hariharan,India
RB Tiffin,Zimbabwe
IL Howell,South Africa
AM Saheba,India
AV Jayaprakash,India
I Shivram,India
BR Doctrove,Domicia
BG Jerling,South Africa
SD Ranade,India
SJA Taufel,Australia
TH Wijewardene,Sri Lanka
HDPK Dharmasena,Sri Lanka
S Asnani,India
GAV Baxter,New Zealand
SK Tarapore,India
SS Hazare,India
S Das,India
PR Reiffel,Australia
AL Hill,New Zealand
RJ Tucker,Australia
JD Cloete,South Africa
VA Kulkarni,India
BNJ Oxenford,Australia
K Srinath,India
Subroto Das,India
RK Illingworth,England
RM Deshpande,India
PG Pathak,India
SD Fry,Australia
K Srinivasan,India
K Bharatan,India
